Column1,Column2,Column3,Column4
CCMTV临床频道,health,fdmodel2.bin,E:\mobilesec\apps\health\CCMTV临床频道\fdmodel2.bin
玖富钱包,finance,SenseID_Ocr_Idcard.model,E:\mobilesec\apps\finance\玖富钱包\SenseID_Ocr_Idcard.model
CCMTV临床频道,health,fdmodel.bin,E:\mobilesec\apps\health\CCMTV临床频道\fdmodel.bin
腾讯自选股-股票炒股证券交易,finance,KM_Hunter_SmallFace_Gray_ppl_9.6.1_half_compression_v1_weak.model,E:\mobilesec\apps\finance\腾讯自选股-股票炒股证券交易\KM_Hunter_SmallFace_Gray_ppl_9.6.1_half_compression_v1_weak.model
荆州公交,travel,M_Liveness_Cnn_half.model,E:\mobilesec\apps\travel\荆州公交\M_Liveness_Cnn_half.model
晋能快成司机,office,integrity_model_secret.bin,E:\mobilesec\apps\office\晋能快成司机\integrity_model_secret.bin
探火,shopping,M_Liveness_Cnn_half.model,E:\mobilesec\apps\shopping\探火\M_Liveness_Cnn_half.model
呱呱直播,video,M_SenseME_Face_Video_7.0.0.model,E:\mobilesec\apps\video\呱呱直播\M_SenseME_Face_Video_7.0.0.model
掌中通,office,KM_August_Face_Gray_PPL_2.6.3_half_compression_v2_origin.model,E:\mobilesec\apps\office\掌中通\KM_August_Face_Gray_PPL_2.6.3_half_compression_v2_origin.model
吉汽约车司机端,travel,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\travel\吉汽约车司机端\acn_535_net1.opt.tnnmodel
小新联想打印机,office,hed_lite_model_quantize.tflite,E:\mobilesec\apps\office\小新联想打印机\hed_lite_model_quantize.tflite
杏花直播,video,2.model,E:\mobilesec\apps\video\杏花直播\2.model
豫事办,life,M_Detect_Hunter_SmallFace.model,E:\mobilesec\apps\life\豫事办\M_Detect_Hunter_SmallFace.model
光大点金门,office,det3-half.caffemodel,E:\mobilesec\apps\office\光大点金门\det3-half.caffemodel
麦田来了,travel,gps_quality_flp4.model,E:\mobilesec\apps\travel\麦田来了\gps_quality_flp4.model
网商银行,finance,idcardmodel.bin,E:\mobilesec\apps\finance\网商银行\idcardmodel.bin
乐拼用车司机,travel,M_Liveness_Cnn_half.model,E:\mobilesec\apps\travel\乐拼用车司机\M_Liveness_Cnn_half.model
华安智赢,finance,KM_Headpose_106_ppl_2.3.0_half_compression_v2_origin.model,E:\mobilesec\apps\finance\华安智赢\KM_Headpose_106_ppl_2.3.0_half_compression_v2_origin.model
榴莲视频,video,f_modern.model,E:\mobilesec\apps\video\榴莲视频\f_modern.model
CHAO,communication,M_SenseME_Action_5.4.0.model,E:\mobilesec\apps\communication\CHAO\M_SenseME_Action_5.4.0.model
快来车,travel,ldmodel.bin,E:\mobilesec\apps\travel\快来车\ldmodel.bin
对缘,communication,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\communication\对缘\acn_535_net1.opt.tnnmodel
轻图,photo,M_SenseME_Ear_p_1.0.1.1.model,E:\mobilesec\apps\photo\轻图\M_SenseME_Ear_p_1.0.1.1.model
小店邦,finance,SenseID_Ocr_Bankcard.model,E:\mobilesec\apps\finance\小店邦\SenseID_Ocr_Bankcard.model
网易严选,shopping,1102_mbv2_p1_eye.opt.tnnmodel,E:\mobilesec\apps\shopping\网易严选\1102_mbv2_p1_eye.opt.tnnmodel
私募排排网,finance,1105_mbv2_eye_ch3.opt.tnnmodel,E:\mobilesec\apps\finance\私募排排网\1105_mbv2_eye_ch3.opt.tnnmodel
小巷约车司机端,travel,1105_mbv2_eye_ch3.opt.tnnmodel,E:\mobilesec\apps\travel\小巷约车司机端\1105_mbv2_eye_ch3.opt.tnnmodel
倾刻直播,video,jingzhi_2.1.0.model,E:\mobilesec\apps\video\倾刻直播\jingzhi_2.1.0.model
爱唱,video,tt_facefitting845_v2.1.model,E:\mobilesec\apps\video\爱唱\tt_facefitting845_v2.1.model
365接单宝,travel,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\travel\365接单宝\acn_535_net1.opt.tnnmodel
繁星直播,video,fdmodel.bin,E:\mobilesec\apps\video\繁星直播\fdmodel.bin
惠心富,parenting,keypt_track_model_sdm_9pts.bin,E:\mobilesec\apps\parenting\惠心富\keypt_track_model_sdm_9pts.bin
一起秀直播,video,filter_style_peach.model,E:\mobilesec\apps\video\一起秀直播\filter_style_peach.model
来分期,finance,fdmodel.bin,E:\mobilesec\apps\finance\来分期\fdmodel.bin
宝石直播,video,6.model,E:\mobilesec\apps\video\宝石直播\6.model
YOYI,photo,M_SenseME_Face_Video_5.3.0_v1.model,E:\mobilesec\apps\photo\YOYI\M_SenseME_Face_Video_5.3.0_v1.model
飞贷,finance,acn_535_net2.opt.tnnmodel,E:\mobilesec\apps\finance\飞贷\acn_535_net2.opt.tnnmodel
红袖直播,video,tt_face_extra_v12.0.model,E:\mobilesec\apps\video\红袖直播\tt_face_extra_v12.0.model
流星直播,video,filter_sharpen.model,E:\mobilesec\apps\video\流星直播\filter_sharpen.model
火雀,news,fdmodel.bin,E:\mobilesec\apps\news\火雀\fdmodel.bin
社会帮扶,news,bankcard.model,E:\mobilesec\apps\news\社会帮扶\bankcard.model
红人直播,video,tt_face_attribute_v7.0.model,E:\mobilesec\apps\video\红人直播\tt_face_attribute_v7.0.model
变蝶,video,filter_nostalgia.model,E:\mobilesec\apps\video\变蝶\filter_nostalgia.model
备忘录记事本,office,quality_model_secret.bin,E:\mobilesec\apps\office\备忘录记事本\quality_model_secret.bin
桥架弯头计算器,life,1024.model,E:\mobilesec\apps\life\桥架弯头计算器\1024.model
单多多助手,travel,M_Liveness_Cnn_half.model,E:\mobilesec\apps\travel\单多多助手\M_Liveness_Cnn_half.model
呱呱直播,video,M_SenseME_Segment_MouthOcclusion_FastV1_1.1.3.model,E:\mobilesec\apps\video\呱呱直播\M_SenseME_Segment_MouthOcclusion_FastV1_1.1.3.model
红袖直播,video,tt_hand_kp3d_v2.0.model,E:\mobilesec\apps\video\红袖直播\tt_hand_kp3d_v2.0.model
嘀嗒出行,travel,1105_mbv2_eye_ch3.opt.tnnmodel,E:\mobilesec\apps\travel\嘀嗒出行\1105_mbv2_eye_ch3.opt.tnnmodel
社会帮扶,news,SenseID_Liveness_Silent.model,E:\mobilesec\apps\news\社会帮扶\SenseID_Liveness_Silent.model
乐POS,finance,1105_mbv2_eye_ch3.opt.tnnmodel,E:\mobilesec\apps\finance\乐POS\1105_mbv2_eye_ch3.opt.tnnmodel
基金决策宝,finance,quality_model_secret.bin,E:\mobilesec\apps\finance\基金决策宝\quality_model_secret.bin
天仙直播,video,tt_face_attribute_v7.0.model,E:\mobilesec\apps\video\天仙直播\tt_face_attribute_v7.0.model
提词器,life,M_SenseME_Face_Video_5.3.4.model,E:\mobilesec\apps\life\提词器\M_SenseME_Face_Video_5.3.4.model
云南农信,finance,ChineseTextModel.bin,E:\mobilesec\apps\finance\云南农信\ChineseTextModel.bin
草莓约,communication,model.zip,E:\mobilesec\apps\communication\草莓约\model.zip
猫咪,communication,1102_mbv2_p1_eye.opt.tnnmodel,E:\mobilesec\apps\communication\猫咪\1102_mbv2_p1_eye.opt.tnnmodel
中信期货,finance,M_Liveness_Antispoofing.model,E:\mobilesec\apps\finance\中信期货\M_Liveness_Antispoofing.model
软声,communication,face_reshape_eagle.model,E:\mobilesec\apps\communication\软声\face_reshape_eagle.model
安易出行司机,travel,fdmodel.bin,E:\mobilesec\apps\travel\安易出行司机\fdmodel.bin
银华生利宝,finance,IdDetModel_auxi.bin,E:\mobilesec\apps\finance\银华生利宝\IdDetModel_auxi.bin
岗央,video,beauty305.model,E:\mobilesec\apps\video\岗央\beauty305.model
草莓约,communication,ldmodel.bin,E:\mobilesec\apps\communication\草莓约\ldmodel.bin
右手,video,tt_face_beauty_v4.0.model,E:\mobilesec\apps\video\右手\tt_face_beauty_v4.0.model
顺丰骑士,office,integrity_model_secret.bin,E:\mobilesec\apps\office\顺丰骑士\integrity_model_secret.bin
SaYu,communication,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\communication\SaYu\acn_535_net1.opt.tnnmodel
股吧,finance,KM_Pageant_88id_Fcfp32_ppl_1.0.7_half_compression_v2_origin.model,E:\mobilesec\apps\finance\股吧\KM_Pageant_88id_Fcfp32_ppl_1.0.7_half_compression_v2_origin.model
365接单宝,travel,M_Face_Quality_Assessment.model,E:\mobilesec\apps\travel\365接单宝\M_Face_Quality_Assessment.model
爱唱,video,tt_memoji_match_glasses_v4.0.model,E:\mobilesec\apps\video\爱唱\tt_memoji_match_glasses_v4.0.model
抱抱直播,communication,tt_matting_v13.0.model,E:\mobilesec\apps\communication\抱抱直播\tt_matting_v13.0.model
一起秀直播,video,face_attribute_1.0.1.model,E:\mobilesec\apps\video\一起秀直播\face_attribute_1.0.1.model
智慧体育,exam,tt_faceverify_v5.0.model,E:\mobilesec\apps\exam\智慧体育\tt_faceverify_v5.0.model
变蝶,video,filter_invert.model,E:\mobilesec\apps\video\变蝶\filter_invert.model
变蝶,video,filter_distortion.model,E:\mobilesec\apps\video\变蝶\filter_distortion.model
东奥继教学堂,exam,ldmodel.bin,E:\mobilesec\apps\exam\东奥继教学堂\ldmodel.bin
